Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP,Classe
3.49,-0.9,2.66,11.88,186.89,9.1,22.5,151.0,-2.35,6.27,2
3.6,-0.63,2.65,11.9,172.93,9.3,22.5,151.39,-2.37,5.57,0
3.66,-0.41,2.75,11.9,176.34,9.3,22.5,152.52,-2.32,5.43,2
3.64,-0.48,2.88,11.86,216.6,8.9,22.5,150.3,-2.19,6.84,2
3.59,-0.54,2.8,11.86,218.86,9.1,22.5,151.22,-2.08,6.89,2
3.55,-0.6,2.79,11.78,218.5,8.9,22.5,150.82,-1.93,6.94,2
3.49,-0.65,2.81,11.65,217.48,8.9,22.5,148.88,-1.87,6.99,2
3.46,-0.72,2.84,11.44,213.15,8.7,22.5,145.51,-1.64,7.06,2
3.43,-0.8,2.76,11.21,209.22,8.5,22.5,144.48,-1.36,7.06,2
3.4,-0.8,2.73,10.92,213.06,8.2,22.5,138.96,-1.03,7.43,2
3.42,-0.8,2.77,10.9,203.6,8.2,22.5,139.35,-1.02,7.1,2
3.38,-0.85,2.82,10.88,209.21,8.1,22.5,138.9,-0.99,7.34,2
3.27,-1.04,2.82,10.8,204.94,8.1,22.5,138.3,-0.93,7.35,2
3.18,-1.18,2.76,10.8,207.66,7.9,22.5,138.24,-0.87,7.54,2
3.11,-1.35,2.71,10.8,210.88,8.0,22.5,138.46,-0.8,7.83,2
3.1,-1.49,2.7,10.8,211.36,8.1,22.5,138.96,-0.72,8.04,2
3.1,-1.61,2.68,10.9,206.97,8.1,22.5,139.2,-0.81,8.07,2
3.05,-1.62,2.49,10.93,182.93,8.2,22.5,139.56,-0.94,7.05,2
3.19,-1.26,2.43,11.0,156.33,8.6,22.5,139.67,-1.0,5.75,0
3.33,-1.0,2.64,11.07,161.07,8.5,22.5,141.68,-1.19,5.68,2
3.43,-0.86,2.68,11.1,205.5,8.5,22.5,141.98,-1.26,7.15,2
3.49,-0.78,2.73,11.1,206.01,8.5,22.5,142.32,-1.31,7.12,2
3.56,-0.69,2.72,11.1,207.06,8.3,22.5,142.06,-1.31,7.14,2
3.64,-0.55,2.73,11.1,204.73,8.3,22.5,142.52,-1.38,6.94,2
3.65,-0.5,2.76,11.1,207.38,8.4,22.5,141.26,-1.41,7.03,2
3.66,-0.5,2.82,11.1,207.02,8.3,22.5,143.32,-1.44,6.93,2
3.67,-0.47,2.8,11.1,205.94,8.3,22.5,141.88,-1.45,6.93,2
3.64,-0.56,2.84,11.1,218.65,8.3,22.5,140.92,-1.45,7.52,2
3.62,-0.6,2.78,11.1,218.35,8.4,22.5,141.58,-1.36,7.5,2
3.61,-0.6,2.78,11.1,218.1,8.2,22.5,141.92,-1.41,7.45,2
3.64,-0.57,2.74,11.1,219.59,8.3,22.5,142.24,-1.41,7.5,2
3.72,-0.5,2.8,11.1,218.72,8.3,22.5,141.48,-1.41,7.52,2
3.7,-0.6,2.89,11.1,218.53,8.2,22.5,140.98,-1.39,7.68,2
3.6,-0.79,2.86,11.1,206.02,8.3,22.5,142.32,-1.36,7.32,2
3.46,-1.05,2.86,11.03,207.28,8.3,22.5,141.47,-1.23,7.62,2
3.39,-1.2,2.68,11.0,209.76,8.3,22.5,139.6,-1.17,7.95,2
3.42,-1.17,2.64,11.0,189.26,8.4,22.5,141.16,-1.19,7.09,2
3.5,-0.98,2.59,11.09,174.37,8.3,22.5,140.74,-1.29,6.39,2
3.6,-0.76,2.62,11.1,173.1,8.5,22.5,141.26,-1.36,6.16,2
3.71,-0.52,2.71,11.1,173.76,8.4,22.5,142.86,-1.34,5.92,2
3.75,-0.4,2.82,11.16,206.51,8.3,22.5,142.6,-1.25,6.93,2
3.75,-0.4,2.82,11.11,217.14,8.3,22.5,141.24,-1.2,7.35,2
3.76,-0.4,2.82,11.13,219.28,8.2,22.5,142.35,-1.23,7.39,2
3.79,-0.34,2.77,11.1,219.58,8.3,22.5,142.06,-1.29,7.36,2
3.81,-0.3,2.87,11.18,218.04,8.3,22.5,143.5,-1.12,7.2,2
3.76,-0.5,2.95,11.17,218.14,8.3,22.5,141.96,-1.14,7.54,2
3.6,-0.88,2.97,11.1,219.7,8.1,22.5,142.08,-1.21,7.98,2
3.41,-1.15,2.76,11.05,214.75,8.2,22.5,142.02,-1.18,7.96,2
3.35,-1.16,2.67,11.0,176.24,8.4,22.5,140.69,-1.23,6.5,2
3.38,-0.99,2.62,11.0,174.21,8.3,22.5,140.94,-1.22,6.23,2
3.5,-0.75,2.61,11.0,172.81,8.3,22.5,141.54,-1.22,5.98,2
3.6,-0.52,2.74,11.1,185.75,8.5,22.5,142.42,-1.18,6.2,2
3.61,-0.5,2.8,11.1,219.05,8.2,22.5,143.22,-1.03,7.24,2
3.61,-0.57,2.86,11.1,218.88,8.3,22.5,141.92,-0.96,7.43,2
3.56,-0.6,2.78,11.1,219.36,8.3,22.5,141.33,-0.99,7.44,2
3.54,-0.6,2.79,11.1,218.74,8.4,22.5,140.32,-1.05,7.44,2
3.56,-0.63,2.82,11.1,218.19,8.3,22.5,141.58,-1.17,7.44,2
3.55,-0.63,2.74,11.01,219.43,8.3,22.5,142.04,-1.12,7.45,2
